loop,domain,checks,status,detail
4967,k7_update_path,6,PASS,Update-Pfad ok
4968,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4969,k9_dialog_invariants,3,PASS,global_search_dialog.py: Invarianten ok
4970,k10_regression_shield,14,PASS,Regressionsschild intakt
4971,k1_first_run_path,11,PASS,Erststartpfad ok
4972,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4973,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4974,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
4975,k5_help_wiki,11,PASS,Wiki-Topic ok
4976,k6_text_quality,200,PASS,fr: 40 Werte sauber
4977,k7_update_path,6,PASS,Update-Pfad ok
4978,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4979,k9_dialog_invariants,1,PASS,help_content.py: Invarianten ok
4980,k10_regression_shield,14,PASS,Regressionsschild intakt
4981,k1_first_run_path,11,PASS,Erststartpfad ok
4982,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4983,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4984,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
4985,k5_help_wiki,11,PASS,Wiki-Topic ok
4986,k6_text_quality,200,PASS,de: 40 Werte sauber
4987,k7_update_path,6,PASS,Update-Pfad ok
4988,k8_key_discipline,35,PASS,Schluesseldisziplin ok
4989,k9_dialog_invariants,3,PASS,help_dialog.py: Invarianten ok
4990,k10_regression_shield,14,PASS,Regressionsschild intakt
4991,k1_first_run_path,11,PASS,Erststartpfad ok
4992,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4993,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4994,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4995,k5_help_wiki,11,PASS,Wiki-Topic ok
4996,k6_text_quality,200,PASS,en: 40 Werte sauber
4997,k7_update_path,6,PASS,Update-Pfad ok
4998,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4999,k9_dialog_invariants,3,PASS,language_select_dialog.py: Invarianten ok
5000,k10_regression_shield,14,PASS,Regressionsschild intakt
5001,k1_first_run_path,11,PASS,Erststartpfad ok
5002,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5003,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5004,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
5005,k5_help_wiki,11,PASS,Wiki-Topic ok
5006,k6_text_quality,20,PASS,fr: 4 Werte sauber
5007,k7_update_path,6,PASS,Update-Pfad ok
5008,k8_key_discipline,62,PASS,Schluesseldisziplin ok
5009,k9_dialog_invariants,7,PASS,login_dialog.py: Invarianten ok
5010,k10_regression_shield,14,PASS,Regressionsschild intakt
5011,k1_first_run_path,11,PASS,Erststartpfad ok
5012,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5013,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5014,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
5015,k5_help_wiki,11,PASS,Wiki-Topic ok
5016,k6_text_quality,200,PASS,de: 40 Werte sauber
5017,k7_update_path,6,PASS,Update-Pfad ok
5018,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5019,k9_dialog_invariants,5,PASS,main_window.py: Invarianten ok
5020,k10_regression_shield,14,PASS,Regressionsschild intakt
5021,k1_first_run_path,11,PASS,Erststartpfad ok
5022,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5023,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5024,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
5025,k5_help_wiki,11,PASS,Wiki-Topic ok
5026,k6_text_quality,194,PASS,en: 40 Werte sauber
5027,k7_update_path,6,PASS,Update-Pfad ok
5028,k8_key_discipline,62,PASS,Schluesseldisziplin ok
5029,k9_dialog_invariants,3,PASS,month_close_dialog.py: Invarianten ok
5030,k10_regression_shield,14,PASS,Regressionsschild intakt
5031,k1_first_run_path,11,PASS,Erststartpfad ok
5032,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5033,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5034,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
5035,k5_help_wiki,11,PASS,Wiki-Topic ok
5036,k6_text_quality,194,PASS,fr: 40 Werte sauber
5037,k7_update_path,6,PASS,Update-Pfad ok
5038,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5039,k9_dialog_invariants,3,PASS,quick_add_dialog.py: Invarianten ok
5040,k10_regression_shield,14,PASS,Regressionsschild intakt
5041,k1_first_run_path,11,PASS,Erststartpfad ok
5042,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5043,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5044,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
5045,k5_help_wiki,11,PASS,Wiki-Topic ok
5046,k6_text_quality,179,PASS,de: 40 Werte sauber
5047,k7_update_path,6,PASS,Update-Pfad ok
5048,k8_key_discipline,61,PASS,Schluesseldisziplin ok
5049,k9_dialog_invariants,1,PASS,reauth.py: Invarianten ok
5050,k10_regression_shield,14,PASS,Regressionsschild intakt
5051,k1_first_run_path,11,PASS,Erststartpfad ok
5052,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5053,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5054,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
5055,k5_help_wiki,11,PASS,Wiki-Topic ok
5056,k6_text_quality,194,PASS,en: 40 Werte sauber
5057,k7_update_path,6,PASS,Update-Pfad ok
5058,k8_key_discipline,61,PASS,Schluesseldisziplin ok
5059,k9_dialog_invariants,3,PASS,recurring_bookings_dialog.py: Invarianten ok
5060,k10_regression_shield,14,PASS,Regressionsschild intakt
5061,k1_first_run_path,11,PASS,Erststartpfad ok
5062,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5063,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5064,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
5065,k5_help_wiki,11,PASS,Wiki-Topic ok
5066,k6_text_quality,200,PASS,fr: 40 Werte sauber
5067,k7_update_path,6,PASS,Update-Pfad ok
5068,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5069,k9_dialog_invariants,3,PASS,restore_key_dialog.py: Invarianten ok
5070,k10_regression_shield,14,PASS,Regressionsschild intakt
